level;simple;participle;past;frequency;translation
1;swim;swum;swam;0.000279547481524;nadar
2;swing;swung;swung;0.000197244449226;columpiarse
1;take;taken;took;0.0176276691142;coger
1;teach;taught;taught;0.00133517578994;enseñar
1;tear;torn;tore;0.000365923241194;rasgar
1;tell;told;told;0.021859911641;decir
1;think;thought;thought;0.0281954915926;pensar
1;throw;thrown;threw;0.00132278791086;arrojar/tirar
2;thrust;thrust;thrust;9.67272750722e-05;introducir
2;tread;trodden;trod;2.49454551502e-05;pisar/hollar
1;understand;understood;understood;0.00458210112118;entender
2;undergo;undergone;underwent;1.84969701454e-05;sufrir
2;undertake;undertaken;undertook;1.90060610668e-05;emprender
1;wake;woken;woke;0.00108962426884;despertarse
1;wear;worn;wore;0.000926545477007;llevar puesto
2;weave;woven;wove;3.00363643645e-05;tejer
2;weep;wept;wept;8.59232344062e-05;llorar
2;wet;wet;wet;0.000902787900674;mojar
1;win;won;won;0.00228101015631;ganar
2;wind;wound;wound;0.00088067072842;enrollar
2;withdraw;withdrawn;withdrew;8.86383859872e-05;retirarse
2;wring;wrung;wrung;1.58949498803e-05;torcer
1;write;written;wrote;0.00205242833258;escribir
3;waylay;waylaid;waylaid;3.50707079209e-06;acechar
3;vex;vexed/vext;vexed/vext;9.84242448103e-06;vejar
